,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04
forget,0.6956055266227422,0.7371302699284442,0.8347150184189753,0.7655086848635236,0.7696562623468985,0.830884405665487,0.7025042749185437,0.8375882318268566,0.7350720658888126,0.7635392829900838,0.8566224183405443,0.7112934194449292,0.722753346080306,0.7730250177570832,0.7390204346415832,0.7057813394390384
fox,0.8510359016958513,0.6602186711522288,0.7372322794368497,0.9218150568349633,0.9270445152166015,0.726384364820847,0.8813221661459909,0.84238871747931,0.8274858072392062,0.7733438548871224,0.6906012842965559,0.7112934194449292,0.8751800167026227,0.7730250177570832,0.8672390988204144,0.7057813394390384
http wikipedia,0.756471988684812,0.9902246493692977,0.8169373341516027,0.9201991939169185,0.9696352628352191,0.8608005316707207,0.8577720665203069,0.8221738076036479,0.8415433149528181,0.9474333087356209,0.7669662198991744,0.6141782337934893,0.7886566395699534,0.8755812510879727,0.7783852418409375,0.8066441506973124
trade,0.8402456912007087,0.6602186711522288,0.7227238525206924,0.9267106527617611,0.8411331298579704,0.7451887406628491,0.6777860143316036,0.768503511615343,0.7350720658888126,0.7635392829900838,0.6906012842965559,0.7112934194449292,0.722753346080306,0.7730250177570832,0.7390204346415832,0.7057813394390384
questions,0.6950354609929078,0.6602186711522288,0.7227238525206924,0.7655086848635236,0.7118822644201913,0.8467962332506435,0.6777860143316036,0.6735094426369049,0.7350720658888126,0.878641260494958,0.6906012842965559,0.7112934194449292,0.9265826998675595,0.7730250177570832,0.7390204346415832,0.7057813394390384
scalia,0.6950354609929078,0.6602186711522288,0.7227238525206924,0.7655086848635236,0.7696562623468985,0.9020768625464677,0.6777860143316036,0.768503511615343,0.7350720658888126,0.7635392829900838,0.6906012842965559,0.7112934194449292,0.722753346080306,0.7730250177570832,0.7390204346415832,0.7057813394390384
paul,0.8590337257186345,0.7552658175744208,0.7663181431261932,0.8826067834262932,0.8711467994773662,0.7409301539199643,0.6777860143316036,0.8567815287965022,0.7726589568680361,0.8426748434787434,0.919189974660381,0.8337244173825699,0.803988809904696,0.7730250177570832,0.7390204346415832,0.7057813394390384
debate,0.6950354609929078,0.6602186711522288,0.7336622284842188,0.7655086848635236,0.7696562623468985,0.5938652009358698,0.7557543596803656,0.9456140308148169,0.8888193911488822,0.8947981033907411,0.7553493632704551,0.7820083781325736,0.8185530646394042,0.8963047013987309,0.8362293471100634,0.735929211455955
voter,0.6950354609929078,0.6602186711522288,0.7208626975224203,0.7710950083318007,0.7696562623468985,0.7593836856510959,0.6777860143316036,0.9116168870913585,0.7458702338456271,0.7421610740657569,0.6131187060848609,0.7933304695086668,0.722753346080306,0.7422928099264668,0.7748727563759298,0.7796648168916205
police,0.8003650002037895,0.7748838059952907,0.8694009652354675,0.8243916707034898,0.6948119988588439,0.726384364820847,0.745636664975766,0.8583508696387046,0.6921578199844853,0.7635392829900838,0.5627144063382807,0.6774117902995126,0.657905000479165,0.7730250177570832,0.7390204346415832,0.7057813394390384
